enviro,observer,task,ori,n_runs,threshold,t_sem,slope,s_sem
web,p26,spatial,horizontal,5,2.0269,0.0284,0.4783,0.0251
web,p26,spatial,vertical,7,1.8666,0.0354,0.5383,0.0314
web,p26,spatial,minus45,5,11.1162,0.2404,2.6566,0.2122
web,p26,spatial,plus45,6,10.4674,0.3253,3.7668,0.2934
web,p27,temporal,horizontal,5,1.5821,0.2207,1.5638,0.2571
web,p27,temporal,vertical,4,2.1395,0.178,0.7286,0.1597
web,p27,temporal,minus45,5,13.6776,0.9846,6.3425,1.0243
web,p27,temporal,plus45,5,14.9904,0.8728,6.2176,0.9062
web,p27,spatial,horizontal,5,3.3971,0.1186,1.4614,0.1339
web,p27,spatial,vertical,5,3.3257,0.1243,1.0413,0.1232
web,p27,spatial,minus45,5,23.9514,0.4722,6.5189,0.4829
web,p27,spatial,plus45,5,20.7162,0.5921,4.7301,0.6208
web,p28,temporal,horizontal,5,1.2882,0.0239,0.4407,0.0213
web,p28,temporal,vertical,5,1.5315,0.069,0.6843,0.0639
web,p28,temporal,minus45,5,8.7534,0.4262,4.4709,0.4034
web,p28,temporal,plus45,5,11.6368,0.4941,5.6254,0.4877
web,p28,spatial,horizontal,7,1.9781,0.0355,0.6358,0.0319
web,p28,spatial,vertical,5,2.5889,0.0875,1.0102,0.0922
web,p28,spatial,minus45,5,18.1568,0.4105,4.3072,0.3991
web,p28,spatial,plus45,5,20.1809,0.6166,5.813,0.661
web,p29,temporal,horizontal,6,0.975,0.052,0.5423,0.0482
web,p29,temporal,vertical,6,1.4044,0.0403,0.3202,0.0393
web,p29,temporal,minus45,5,5.5846,0.3086,2.1136,0.2713
web,p29,temporal,plus45,5,6.95,0.1455,2.3533,0.1301
web,p29,spatial,horizontal,5,1.8868,0.0255,0.3934,0.0222
web,p29,spatial,vertical,6,2.2577,0.0838,0.655,0.0744
web,p29,spatial,minus45,5,9.8499,0.327,3.039,0.2905
web,p29,spatial,plus45,7,12.8955,0.3975,4.7248,0.3709
web,p30,temporal,horizontal,5,1.8668,0.165,1.5578,0.2233
web,p30,temporal,vertical,5,1.8678,0.1722,1.397,0.2156
web,p30,temporal,minus45,5,17.9886,1.2901,6.8121,1.4208
web,p30,temporal,plus45,5,15.8281,0.701,7.1185,0.7792
web,p30,spatial,horizontal,5,1.513,0.0397,0.6316,0.0363
web,p30,spatial,vertical,5,1.8454,0.0687,0.7537,0.0641
web,p30,spatial,minus45,5,23.7504,1.0402,10.0,1.1352
web,p30,spatial,plus45,5,20.4153,0.3329,5.1331,0.3511
web,p31,temporal,horizontal,5,1.0097,0.0243,0.2175,0.0152
web,p31,temporal,vertical,5,1.0076,0.0159,0.345,0.0132
web,p31,temporal,minus45,5,9.0653,0.2222,1.9848,0.1912
web,p31,temporal,plus45,5,8.7759,0.2524,3.4151,0.228
web,p31,spatial,horizontal,5,1.3256,0.0196,0.4028,0.0175
web,p31,spatial,vertical,5,2.2319,0.0397,0.4407,0.0351
web,p31,spatial,minus45,5,14.0146,0.4695,2.8922,0.415
web,p31,spatial,plus45,5,15.496,0.586,4.1526,0.5408
web,p32,temporal,horizontal,5,0.8824,0.0382,0.1594,0.0216
web,p32,temporal,vertical,5,1.0129,0.023,0.2241,0.0209
web,p32,temporal,minus45,4,6.9807,0.3731,2.1144,0.335
web,p32,temporal,plus45,5,8.9286,0.2056,3.4706,0.1858
web,p32,spatial,horizontal,5,1.8135,0.0229,0.4571,0.0201
web,p32,spatial,vertical,4,2.0178,0.1028,1.0581,0.1088
web,p32,spatial,minus45,5,22.4527,0.9457,5.6847,1.0072
web,p32,spatial,plus45,5,15.9385,0.4515,5.9032,0.463
web,p33,temporal,horizontal,5,0.9148,0.0274,0.2245,0.021
web,p33,temporal,vertical,7,0.6557,0.0231,0.2882,0.0212
web,p33,temporal,minus45,5,5.8824,0.2014,2.8164,0.1844
web,p33,temporal,plus45,5,6.4584,0.093,1.2154,0.092
web,p33,spatial,horizontal,6,1.7379,0.0342,0.5379,0.0304
web,p33,spatial,vertical,7,1.8412,0.0447,0.6149,0.0401
web,p33,spatial,minus45,6,16.0928,0.5818,5.6936,0.5897
web,p33,spatial,plus45,6,12.1457,0.23,1.6361,0.1887
web,p34,temporal,horizontal,6,0.6917,0.0307,0.2888,0.0327
web,p34,temporal,vertical,5,1.1877,0.0592,0.4725,0.0527
web,p34,temporal,minus45,5,6.2988,0.4919,3.9032,0.474
web,p34,temporal,plus45,5,7.6882,0.2996,3.2272,0.2721
web,p34,spatial,horizontal,6,1.3386,0.0274,0.5611,0.0247
web,p34,spatial,vertical,6,1.7186,0.0391,0.8017,0.0363
web,p34,spatial,minus45,5,16.6556,0.4124,5.0179,0.4048
web,p34,spatial,plus45,5,16.3001,0.3728,3.1975,0.3346
web,p35,temporal,horizontal,5,0.7975,0.1062,0.5265,0.1008
web,p35,temporal,vertical,5,0.6397,0.0274,0.1905,0.0433
web,p35,temporal,minus45,5,7.2999,0.4357,4.0265,0.4134
web,p35,temporal,plus45,5,8.5453,0.2458,3.4848,0.2231
web,p35,spatial,horizontal,5,1.6307,0.0855,0.5723,0.0765
web,p35,spatial,vertical,5,2.5311,0.0783,0.9415,0.073
web,p35,spatial,minus45,5,16.0817,0.6022,6.12,0.6271
web,p35,spatial,plus45,5,19.5542,0.9948,8.6792,1.1838
web,p36,temporal,horizontal,5,1.009,0.0254,0.3485,0.0212
web,p36,temporal,vertical,5,0.6483,0.0182,0.155,0.037
web,p36,temporal,minus45,5,6.3715,0.2074,2.6775,0.1874
web,p36,temporal,plus45,5,7.4545,0.506,3.3473,0.4633
web,p36,spatial,horizontal,5,1.5927,0.0846,0.4216,0.075
web,p36,spatial,vertical,6,1.9997,0.043,0.6117,0.0382
web,p36,spatial,minus45,5,11.2194,0.3403,3.7829,0.3059
web,p36,spatial,plus45,5,12.02,0.317,2.6391,0.2789
web,p37,temporal,horizontal,5,0.8775,0.0448,0.4037,0.0407
web,p37,temporal,vertical,6,2.0131,0.1132,1.4174,0.1432
web,p37,temporal,minus45,5,6.7452,0.2833,2.6903,0.2551
web,p37,temporal,plus45,5,15.3365,0.7607,6.9662,0.8348
web,p37,spatial,horizontal,5,1.3828,0.112,0.7324,0.1067
web,p37,spatial,vertical,6,2.3091,0.0481,0.6518,0.0438
web,p37,spatial,minus45,5,19.3692,0.5696,6.4962,0.6218
web,p37,spatial,plus45,5,20.6748,0.5905,4.3954,0.6123
web,p38,temporal,horizontal,4,0.6229,0.0185,0.2021,0.0212
web,p38,temporal,vertical,7,1.8761,0.0338,0.5895,0.0301
web,p38,temporal,minus45,5,8.5531,0.2733,3.2629,0.2462
web,p38,temporal,plus45,6,9.0683,0.3308,2.7144,0.2928
web,p38,spatial,horizontal,5,1.1957,0.048,0.458,0.0432
web,p38,spatial,vertical,5,1.7794,0.0493,0.5671,0.044
web,p38,spatial,minus45,5,11.3707,0.372,3.5315,0.332
web,p38,spatial,plus45,5,18.3828,0.0959,4.3633,0.094
web,p39,temporal,horizontal,5,0.9739,0.014,0.318,0.0115
web,p39,temporal,vertical,5,1.0075,0.0279,0.3881,0.0241
web,p39,temporal,minus45,5,8.1072,0.1305,1.6215,0.1136
web,p39,temporal,plus45,5,6.6789,0.1151,2.4025,0.103
web,p39,spatial,horizontal,5,2.0307,0.0266,0.5681,0.0235
web,p39,spatial,vertical,5,2.9502,0.1638,0.8733,0.1516
web,p39,spatial,minus45,5,11.8513,0.4608,2.6574,0.4057
web,p39,spatial,plus45,5,12.0552,0.1684,2.1856,0.1469
web,p40,temporal,horizontal,6,0.7226,0.0226,0.3093,0.0202
web,p40,temporal,vertical,6,0.8512,0.0252,0.3042,0.0216
web,p40,temporal,minus45,4,7.2246,0.435,4.1926,0.417
web,p40,temporal,plus45,5,6.1027,0.3688,1.6039,0.3172
web,p40,spatial,horizontal,5,1.4899,0.0806,0.3763,0.0709
web,p40,spatial,vertical,6,1.7994,0.0808,0.559,0.0718
web,p40,spatial,minus45,5,15.1989,0.3812,5.9052,0.3881
web,p40,spatial,plus45,5,13.6797,0.8662,4.3613,0.7957
web,p41,temporal,horizontal,5,0.7692,0.0293,0.2938,0.0299
web,p41,temporal,vertical,5,1.02,0.027,0.3685,0.0229
web,p41,temporal,minus45,5,6.1431,0.1236,2.1616,0.1096
web,p41,temporal,plus45,6,7.412,0.1284,2.5185,0.1146
web,p41,spatial,horizontal,5,1.4619,0.0675,0.5879,0.0609
web,p41,spatial,vertical,6,1.8182,0.0745,0.5249,0.066
web,p41,spatial,minus45,5,13.7041,0.5973,5.0261,0.5683
web,p41,spatial,plus45,5,15.5516,1.2499,6.245,1.306
web,p42,temporal,horizontal,5,0.5889,0.0714,0.1051,0.0617
web,p42,temporal,vertical,5,0.8097,0.0326,0.2957,0.0318
web,p42,temporal,minus45,6,5.3401,0.4273,3.505,0.4128
web,p42,temporal,plus45,5,4.3325,0.1531,1.5109,0.1396
web,p42,spatial,horizontal,5,1.1253,0.0172,0.3885,0.0147
web,p42,spatial,vertical,6,1.2107,0.0374,0.5546,0.034
web,p42,spatial,minus45,5,9.2065,0.2353,2.2688,0.2061
web,p42,spatial,plus45,6,9.9779,0.1614,3.1226,0.1435
web,p43,temporal,horizontal,5,1.0793,0.0345,0.3551,0.0287
web,p43,temporal,vertical,4,0.7956,0.068,0.4069,0.0626
web,p43,temporal,minus45,6,9.572,0.6721,5.3125,0.66
web,p43,temporal,plus45,5,10.2283,0.8695,5.4259,0.8543
web,p43,spatial,horizontal,5,1.8574,0.0661,0.871,0.0617
web,p43,spatial,vertical,5,1.9055,0.0815,0.8758,0.076
web,p43,spatial,minus45,6,16.659,0.5604,4.3471,0.5304
web,p43,spatial,plus45,5,19.8598,0.546,6.057,0.5883
web,p44,temporal,horizontal,5,0.8694,0.0571,0.3885,0.0513
web,p44,temporal,vertical,5,1.3514,0.055,0.5605,0.0497
web,p44,temporal,minus45,5,11.0019,0.25,3.6137,0.2239
web,p44,temporal,plus45,6,16.489,0.5591,5.6996,0.5697
web,p44,spatial,horizontal,5,2.2595,0.0246,0.5695,0.0217
web,p44,spatial,vertical,6,3.2426,0.1459,1.0387,0.1437
web,p44,spatial,minus45,5,17.5976,0.4362,8.498,0.5279
web,p44,spatial,plus45,5,15.5656,0.3532,4.9168,0.3393
web,p45,temporal,horizontal,5,0.9084,0.0181,0.1778,0.0117
web,p45,temporal,vertical,5,0.9323,0.0156,0.3297,0.0137
web,p45,temporal,minus45,5,7.9209,0.0694,2.3562,0.0615
web,p45,temporal,plus45,5,8.4231,0.2153,3.3506,0.1948
web,p45,spatial,horizontal,5,1.3482,0.0186,0.3656,0.0164
web,p45,spatial,vertical,5,1.6456,0.0342,0.4308,0.0302
web,p45,spatial,minus45,5,13.2405,0.3059,3.3288,0.2716
web,p45,spatial,plus45,5,10.4309,0.2069,2.6967,0.1828
web,p46,temporal,horizontal,5,0.7792,0.0395,0.3544,0.0371
web,p46,temporal,vertical,5,0.8051,0.0411,0.2867,0.041
web,p46,temporal,minus45,5,7.206,0.1253,2.2999,0.1119
web,p46,temporal,plus45,5,4.8807,0.0801,1.5905,0.0662
web,p46,spatial,horizontal,5,1.2942,0.0158,0.2277,0.0161
web,p46,spatial,vertical,5,1.3783,0.026,0.2287,0.0349
web,p46,spatial,minus45,5,14.285,1.0883,6.7515,1.1702
web,p46,spatial,plus45,5,10.5854,0.4335,4.4685,0.402
web,p47,temporal,horizontal,5,1.2358,0.0404,0.3622,0.0359
web,p47,temporal,vertical,5,1.0004,0.0272,0.1572,0.0237
web,p47,temporal,minus45,5,9.5824,0.4817,5.7819,0.4873
web,p47,temporal,plus45,5,12.6068,0.2954,5.1382,0.2821
web,p47,spatial,horizontal,5,1.8288,0.0682,0.5367,0.0605
web,p47,spatial,vertical,7,2.0414,0.0325,0.7418,0.0301
web,p47,spatial,minus45,6,18.7812,0.5068,3.7608,0.4856
web,p47,spatial,plus45,5,16.1438,0.6397,4.5615,0.6075
web,p48,temporal,horizontal,4,1.0378,0.0709,0.5173,0.0657
web,p48,temporal,vertical,6,0.9019,0.0815,0.5517,0.078
web,p48,temporal,minus45,6,13.021,0.5706,4.7736,0.5338
web,p48,temporal,plus45,4,11.3618,0.6438,4.989,0.6111
web,p48,spatial,horizontal,5,1.6911,0.0919,0.8737,0.0901
web,p48,spatial,vertical,6,2.3301,0.0391,0.9137,0.0391
web,p48,spatial,minus45,5,21.7712,0.7011,6.9043,0.7611
web,p48,spatial,plus45,5,23.6989,1.6178,7.8912,1.6852
web,p49,temporal,horizontal,5,2.256,0.1414,1.1455,0.1566
web,p49,temporal,vertical,5,2.0363,0.1828,1.2308,0.2107
web,p49,temporal,minus45,5,12.9927,0.8501,5.1875,0.8147
web,p49,temporal,plus45,5,16.1659,0.6724,7.8079,0.784
web,p49,spatial,horizontal,4,2.2815,0.0975,0.6738,0.0891
web,p49,spatial,vertical,6,2.6485,0.0612,0.6848,0.0576
web,p49,spatial,minus45,5,22.5861,0.381,5.1334,0.4055
web,p49,spatial,plus45,5,23.1141,0.3874,3.9889,0.4137
web,p50,temporal,horizontal,5,1.5709,0.0638,0.5459,0.057
web,p50,temporal,vertical,5,1.0522,0.0473,0.4286,0.0415
web,p50,temporal,minus45,5,7.3822,0.4559,2.8257,0.4097
web,p50,temporal,plus45,5,5.8419,0.2454,1.1953,0.1766
web,p50,spatial,horizontal,6,1.927,0.0568,0.4978,0.0502
web,p50,spatial,vertical,5,1.5202,0.0824,0.6732,0.0753
web,p50,spatial,minus45,5,9.1523,0.3691,3.4883,0.333
web,p50,spatial,plus45,5,9.5942,0.1391,2.0174,0.1215
web,p51,temporal,horizontal,5,0.7777,0.0122,0.2391,0.0149
web,p51,temporal,vertical,6,0.5593,0.0701,0.109,0.0503
web,p51,temporal,minus45,5,8.7213,0.6732,3.2958,0.606
web,p51,temporal,plus45,5,6.0077,0.1337,1.3052,0.1067
web,p51,spatial,horizontal,5,1.0016,0.0245,0.3361,0.0203
web,p51,spatial,vertical,5,2.1709,0.0383,0.5078,0.0339
web,p51,spatial,minus45,5,10.8502,0.6414,4.3624,0.5907
web,p51,spatial,plus45,5,14.1932,0.669,4.2715,0.6138
web,p52,temporal,horizontal,10,1.2642,0.022,0.4407,0.0197
web,p52,temporal,vertical,10,0.9898,0.0301,0.4485,0.0275
web,p52,temporal,minus45,11,7.8056,0.1778,2.8025,0.159
web,p52,temporal,plus45,10,6.3232,0.1388,1.7726,0.1234
web,p52,spatial,horizontal,11,1.3868,0.0131,0.4181,0.0116
web,p52,spatial,vertical,10,1.5583,0.029,0.6733,0.0268
web,p52,spatial,minus45,10,12.1661,0.2009,3.4073,0.1785
web,p52,spatial,plus45,10,12.6766,0.2613,3.8398,0.2347
web,p53,temporal,horizontal,5,1.2005,0.0899,0.7231,0.0858
web,p53,temporal,vertical,6,1.1413,0.0458,0.4519,0.0405
web,p53,temporal,minus45,5,9.4913,0.2873,3.1054,0.2559
web,p53,temporal,plus45,5,8.4589,0.2507,1.7167,0.2113
web,p53,spatial,horizontal,5,1.433,0.0917,0.5542,0.0824
web,p53,spatial,vertical,5,1.8286,0.0562,0.5904,0.0501
web,p53,spatial,minus45,5,11.5821,0.4188,4.7556,0.392
web,p53,spatial,plus45,5,10.8292,0.4464,2.3918,0.3951
web,p54,temporal,horizontal,5,0.8111,0.0598,0.3179,0.0522
web,p54,temporal,vertical,5,1.0896,0.1082,0.7924,0.1088
web,p54,temporal,minus45,5,9.2262,0.8171,4.6115,0.7741
web,p54,temporal,plus45,5,10.0234,0.2737,1.6675,0.2481
web,p54,spatial,horizontal,5,1.6013,0.0422,0.519,0.0375
web,p54,spatial,vertical,5,1.743,0.0501,0.5371,0.0445
web,p54,spatial,minus45,5,12.5255,0.7208,3.1738,0.6379
web,p54,spatial,plus45,5,13.5166,0.7723,4.6378,0.7185
web,p55,temporal,horizontal,5,1.059,0.0406,0.3131,0.0365
web,p55,temporal,vertical,6,1.6083,0.0596,0.4601,0.0527
web,p55,temporal,minus45,5,8.0824,0.1589,1.8799,0.1396
web,p55,temporal,plus45,5,9.178,0.0929,2.7147,0.0822
web,p55,spatial,horizontal,5,1.4454,0.0665,0.4632,0.0591
web,p55,spatial,vertical,5,2.0767,0.0341,0.6187,0.0306
web,p55,spatial,minus45,5,11.2778,0.4841,2.4182,0.4273
web,p55,spatial,plus45,5,12.8818,0.5025,5.0371,0.4771
web,p56,temporal,horizontal,5,1.3018,0.1089,0.4732,0.0976
web,p56,temporal,vertical,5,1.2243,0.0433,0.5706,0.04
web,p56,temporal,minus45,5,6.6662,0.454,2.4964,0.4069
web,p56,temporal,plus45,5,10.1097,0.3691,3.6593,0.3324
web,p56,spatial,horizontal,5,1.2023,0.0358,0.3727,0.032
web,p56,spatial,vertical,5,1.8079,0.0604,0.6259,0.0544
web,p56,spatial,minus45,5,11.9489,0.2762,4.5208,0.2551
web,p56,spatial,plus45,5,10.14,0.4292,2.2652,0.3799
web,p57,temporal,horizontal,5,0.9541,0.0276,0.3451,0.0244
web,p57,temporal,vertical,5,1.1782,0.017,0.3181,0.0154
web,p57,temporal,minus45,5,8.1756,0.2457,1.7291,0.213
web,p57,temporal,plus45,5,9.2827,0.6157,3.0339,0.5481
web,p57,spatial,horizontal,5,1.2558,0.0357,0.3899,0.0318
web,p57,spatial,vertical,5,1.7795,0.038,0.4358,0.0335
web,p57,spatial,minus45,5,13.6941,0.343,4.5885,0.3186
web,p57,spatial,plus45,5,15.7398,0.4539,3.6041,0.4108
web,p58,temporal,horizontal,5,0.9265,0.0332,0.2757,0.028
web,p58,temporal,vertical,5,1.1062,0.0382,0.2534,0.0373
web,p58,temporal,minus45,5,8.0264,0.3335,3.2439,0.3018
web,p58,temporal,plus45,5,7.9611,0.2353,3.4641,0.2149
web,p58,spatial,horizontal,5,1.7222,0.0678,0.4316,0.0598
web,p58,spatial,vertical,5,2.1258,0.098,0.8397,0.0941
web,p58,spatial,minus45,5,15.3853,0.337,3.5807,0.3038
web,p58,spatial,plus45,5,14.1529,0.7026,2.8597,0.6212
web,p59,temporal,horizontal,5,0.9633,0.0474,0.423,0.042
web,p59,temporal,vertical,6,1.0881,0.0583,0.5743,0.0538
web,p59,temporal,minus45,5,7.6437,0.0828,2.2526,0.0737
web,p59,temporal,plus45,5,8.8089,0.1565,2.8286,0.139
web,p59,spatial,horizontal,5,1.2672,0.076,0.7209,0.0719
web,p59,spatial,vertical,5,2.4343,0.1445,1.3379,0.154
web,p59,spatial,minus45,5,12.71,0.5385,3.7702,0.4828
web,p59,spatial,plus45,5,15.4207,1.1459,6.8566,1.2482
web,p60,temporal,horizontal,5,1.4747,0.03,0.4489,0.0266
web,p60,temporal,vertical,5,1.3244,0.0562,0.4125,0.0499
web,p60,temporal,minus45,5,6.8072,0.278,1.7782,0.2567
web,p60,temporal,plus45,5,6.5573,0.2919,2.7084,0.2635
web,p60,spatial,horizontal,5,1.8956,0.116,1.0719,0.1236
web,p60,spatial,vertical,5,1.6052,0.0508,0.5751,0.0457
web,p60,spatial,minus45,5,9.954,0.5614,2.7541,0.4965
web,p60,spatial,plus45,5,8.965,0.3799,3.3014,0.3413
web,p61,temporal,horizontal,4,1.2745,0.0875,0.6444,0.0821
web,p61,temporal,vertical,7,1.5075,0.0667,0.7268,0.0628
web,p61,temporal,minus45,5,8.7806,0.2487,2.843,0.221
web,p61,temporal,plus45,5,8.8697,0.4314,4.2496,0.4032
web,p61,spatial,horizontal,5,1.7544,0.0961,0.7658,0.0902
web,p61,spatial,vertical,4,2.1353,0.1161,0.5354,0.1028
web,p61,spatial,minus45,5,16.9424,0.5466,4.2531,0.5173
web,p61,spatial,plus45,5,14.1362,0.8245,7.3198,0.9254
web,p62,temporal,horizontal,5,0.6395,0.0304,0.1921,0.0475
web,p62,temporal,vertical,5,0.9289,0.0609,0.4567,0.0551
web,p62,temporal,minus45,5,9.2849,0.4674,3.9047,0.4278
web,p62,temporal,plus45,5,6.1676,0.366,3.0052,0.3368
web,p62,spatial,horizontal,5,2.8515,0.1346,1.0906,0.1319
web,p62,spatial,vertical,5,3.5876,0.1221,1.1068,0.1258
web,p62,spatial,minus45,5,22.8434,1.1509,7.2483,1.2239
web,p62,spatial,plus45,5,20.42,0.9327,5.3986,0.9909
web,p63,temporal,horizontal,5,0.9748,0.0355,0.3203,0.0292
web,p63,temporal,vertical,5,0.981,0.017,0.2823,0.0132
web,p63,temporal,minus45,5,7.3654,0.4383,4.3475,0.4223
web,p63,temporal,plus45,5,6.3694,0.3856,2.7097,0.3488
web,p63,spatial,horizontal,5,1.732,0.0524,0.4834,0.0463
web,p63,spatial,vertical,5,2.2453,0.0171,0.5452,0.0151
web,p63,spatial,minus45,5,14.1308,0.2627,6.1637,0.2703
web,p63,spatial,plus45,5,18.2954,0.7461,6.0086,0.7913
web,p64,temporal,horizontal,5,1.6379,0.0736,0.6442,0.067
web,p64,temporal,vertical,6,1.4003,0.054,0.5943,0.0493
web,p64,temporal,minus45,5,8.2068,0.3618,4.4741,0.3455
web,p64,temporal,plus45,6,10.3893,0.2606,4.268,0.2397
web,p64,spatial,horizontal,5,1.8896,0.0536,0.4261,0.047
web,p64,spatial,vertical,5,2.3311,0.1051,1.1418,0.1163
web,p64,spatial,minus45,5,17.1658,0.3677,4.7873,0.3594
web,p64,spatial,plus45,5,19.4447,0.6969,6.9932,0.7751
web,p65,temporal,horizontal,5,1.2739,0.0445,0.51,0.0403
web,p65,temporal,vertical,5,2.3377,0.062,0.6691,0.0567
web,p65,temporal,minus45,5,17.3764,0.6719,8.9515,0.8371
web,p65,temporal,plus45,5,15.3582,0.8159,6.3028,0.8546
web,p65,spatial,horizontal,5,2.0007,0.0915,0.8604,0.0885
web,p65,spatial,vertical,6,3.3425,0.0687,0.647,0.0708
web,p65,spatial,minus45,5,23.9953,0.9028,5.665,0.9267
web,p65,spatial,plus45,5,19.362,0.988,8.9963,1.1969
web,p66,temporal,horizontal,5,1.2864,0.0249,0.3304,0.0224
web,p66,temporal,vertical,9,1.1639,0.0155,0.3719,0.0132
web,p66,temporal,minus45,5,9.8685,0.2691,3.1102,0.2393
web,p66,temporal,plus45,5,7.0359,0.2969,1.8644,0.2725
web,p66,spatial,horizontal,5,1.7636,0.0655,0.5695,0.0583
web,p66,spatial,vertical,6,2.4167,0.1065,0.8843,0.0979
web,p66,spatial,minus45,5,15.2583,0.6796,4.9677,0.6525
web,p66,spatial,plus45,5,16.5972,0.6264,7.3932,0.7107
web,p67,temporal,horizontal,5,0.8068,0.0594,0.4393,0.0552
web,p67,temporal,vertical,5,0.987,0.0843,0.5595,0.0798
web,p67,temporal,minus45,5,9.7116,0.3448,3.3068,0.3082
web,p67,temporal,plus45,5,10.3101,0.3391,4.3017,0.3126
web,p67,spatial,horizontal,6,1.8523,0.123,1.073,0.1312
web,p67,spatial,vertical,5,1.8808,0.0644,0.6168,0.0577
web,p67,spatial,minus45,7,17.8905,0.2733,4.3627,0.265
web,p67,spatial,plus45,6,15.447,0.4539,3.6022,0.4097
web,p68,temporal,horizontal,5,1.1536,0.0564,0.4036,0.0505
web,p68,temporal,vertical,5,1.7623,0.1047,1.1976,0.1189
web,p68,temporal,minus45,5,8.471,0.4728,2.9601,0.4222
web,p68,temporal,plus45,5,15.2948,0.8627,9.47,1.1346
web,p68,spatial,horizontal,5,2.7588,0.0939,1.0954,0.1032
web,p68,spatial,vertical,5,2.9434,0.1168,0.6871,0.1142
web,p68,spatial,minus45,4,23.4825,1.618,5.2549,1.695
web,p68,spatial,plus45,5,16.2687,0.3787,4.6291,0.3616
web,p69,temporal,horizontal,5,0.8929,0.0793,0.5251,0.0752
web,p69,temporal,vertical,6,1.0141,0.0348,0.4629,0.0318
web,p69,temporal,minus45,5,6.1489,0.2406,1.2674,0.2018
web,p69,temporal,plus45,5,6.7232,0.2888,2.7155,0.2604
web,p69,spatial,horizontal,5,1.588,0.0184,0.4294,0.0162
web,p69,spatial,vertical,5,1.5008,0.0462,0.3656,0.0406
web,p69,spatial,minus45,7,8.581,0.1957,2.2893,0.1718
web,p69,spatial,plus45,5,9.7947,0.2292,4.1099,0.2105
